Report ID,Report Channel,Customer Name,State Key,Ticket Open Time,Ticket Resp Time,Issue Res Time,Fault Type,Operator,Ticket Close Time,Ticket Status,Business Status
AXA-20201229-1141-WLESS,CH02,Cassava,NGS002, 2020/12/29 15:19:00,2020/12/29 15:19:07,2020/12/29 18:04:11,Line damage,Amelia, 2020/12/29 16:52:57,Completed,Closed
AXA-20201229-1142-WLESS,CH02,Cassava,NGS011, 2020/12/29 13:05:20,2020/12/29 13:12:32,2020/12/29 14:35:06,Line damage,Jonathan, 2020/12/29 14:26:11,Completed,Closed
AXA-20201230-1143-WLESS,CH03,Cassava,NGS013, 2020/12/30 08:12:26,2020/12/30 08:15:49,2020/12/30 12:55:23,hardware failure,Jonathan, 2020/12/30 23:57:59,Completed,Closed
AXA-20201230-1144-WLESS,CH04,Cassava,NGS014, 2020/12/30 16:30:45,2020/12/30 16:37:26,2020/12/30 21:05:30,Line damage,Atiku, 2020/12/30 23:49:40,Completed,Closed
AXA-20201229-1145-WLESS,CH05,Cassava,NGS013, 2020/12/29 11:31:14,2020/12/29 11:40:52,2020/12/29 16:02:05,Line damage,Kingsley, 2020/12/29 14:37:34,Completed,Closed
AXA-20201231-1146-WLESS,CH01,Cassava,NGS009, 2020/12/31 23:04:18,2020/12/31 23:11:26,2020/12/31 23:35:01,Line damage,Jonathan, 2021/01/01 06:22:52,Completed,Closed
AXA-20201231-1147-WLESS,CH01,Cassava,NGS009, 2020/12/31 18:52:13,2020/12/31 18:57:42,2020/12/31 20:20:03,hardware failure,Amelia, 2020/12/31 22:31:29,Completed,Closed
AXA-20201231-1148-WLESS,CH01,Cassava,NGS015, 2020/12/31 20:49:22,2020/12/31 20:55:52,2021/01/01 01:59:30,Customers End,Sola, 2021/01/02 06:14:01,Completed,Closed
AXA-20201230-1149-WLESS,CH01,Cassava,NGS015, 2020/12/30 21:49:06,2020/12/30 21:55:37,2020/12/31 02:39:18,Customers End,Atiku, 2020/12/31 21:17:45,Completed,Closed
AXA-20201229-1150-WLESS,CH01,Cassava,NGS015, 2020/12/29 23:55:04,2020/12/29 23:58:12,2020/12/30 01:20:24,Customers End,Vitus, 2020/12/30 12:13:10,Completed,Closed
AXA-20201229-1151-WLESS,CH05,Cassava,NGS002, 2020/12/29 15:23:07,2020/12/29 15:27:12,2020/12/29 17:33:39,Line damage,Myers, 2020/12/29 16:52:25,Completed,Closed
AXA-20201229-1152-HSE,CH05,CenBank,NGS002, 2020/12/29 15:28:08,2020/12/29 15:38:30,2020/12/29 16:52:43,Traffic Spikes,Jonathan, 2020/12/29 21:32:00,Completed,Closed
AXA-20201230-1153-HSE,CH01,Chan,NGS002, 2020/12/30 05:13:06,2020/12/30 05:15:19,2020/12/30 08:23:35,Customers End,Sherifat, 2020/12/30 17:24:00,Completed,Closed
AXA-20201230-1154-HSE,CH01,CL,NGS009, 2020/12/30 02:13:08,2020/12/30 02:17:45,2020/12/30 06:30:22,Customers End,Tunde, 2021/01/02 06:08:32,Completed,Closed
AXA-20201230-1155-HSE,CH01,CL,NGS009, 2020/12/30 01:31:14,2020/12/30 01:31:44,2020/12/30 05:42:23,Line damage,Segun, 2020/12/30 05:08:49,Completed,Closed
AXA-20201231-1156-HSE,CH01,Cho,NGS016, 2020/12/31 17:19:04,2020/12/31 17:27:17,2020/12/31 21:07:45,Line damage,Jennifer, 2021/01/01 07:03:33,Completed,Closed
AXA-20201231-1157-HSE,CH01,Cho,NGS016, 2020/12/31 17:04:40,2020/12/31 17:14:56,2020/12/31 18:47:02,Line damage,Kingsley, 2021/01/01 07:33:36,Completed,Closed
AXA-20201229-1158-HSE,CH01,Dana,NGS007, 2020/12/29 17:52:04,2020/12/29 18:02:47,2020/12/29 18:47:50,Customers End,Segun, 2020/12/30 00:56:51,Completed,Closed
AXA-20201229-1159-HSE,CH01,Dana,NGS007, 2020/12/29 15:22:06,2020/12/29 15:23:37,2020/12/29 15:25:46,Customers End,Jonathan, 2020/12/29 21:32:31,Completed,Closed
AXA-20201229-1160-HSE,CH01,Dana,NGS007, 2020/12/29 15:46:11,2020/12/29 15:49:59,2020/12/29 20:16:40,hardware failure,Sekina, 2021/01/02 06:24:31,Completed,Closed
AXA-20201229-1161-WLESS,CH01,Dang,NGS012, 2020/12/29 20:58:06,2020/12/29 21:06:15,2020/12/29 22:13:32,#N/A,Tunde, ,Active,Open
AXA-20201229-1162-HSE,CH01,Dang,NGS012, 2020/12/29 21:01:03,2020/12/29 21:01:44,2020/12/30 01:41:21,#N/A,Habeeb, ,Terminated,Terminated
AXA-20201230-1163-VOICE,CH01,Dan,NGS017, 2020/12/30 08:46:03,2020/12/30 08:49:40,2020/12/30 10:23:57,hardware failure,John, 2020/12/30 11:59:46,Completed,Closed
AXA-20201229-1164-VOICE,CH01,Dan,NGS017, 2020/12/29 12:58:04,2020/12/29 13:07:35,2020/12/29 15:32:02,Customers End,Bola, 2020/12/30 11:06:02,Completed,Closed
AXA-20201231-1165-VOICE,CH01,Dan,NGS005, 2020/12/31 19:37:04,2020/12/31 19:47:10,2020/12/31 20:29:40,Customers End,Sola, 2021/01/02 06:37:00,Completed,Closed
AXA-20201231-1166-VOICE,CH01,Dan,NGS005, 2020/12/31 11:37:03,2020/12/31 11:38:23,2020/12/31 12:08:28,Customers End,Fola, 2021/01/02 06:47:32,Completed,Closed
AXA-20201231-1167-VOICE,CH01,Dan,NGS005, 2020/12/31 07:34:07,2020/12/31 07:41:40,2020/12/31 07:47:00,Customers End,Jennifer, 2021/01/01 07:32:16,Completed,Closed
AXA-20201231-1168-VOICE,CH01,Dan,NGS005, 2020/12/31 03:22:04,2020/12/31 03:22:48,2020/12/31 08:48:32,Customers End,Kingsley, 2021/01/01 07:25:58,Completed,Closed
AXA-20201230-1169-VOICE,CH01,Dan,NGS005, 2020/12/30 19:28:06,2020/12/30 19:37:24,2020/12/30 20:11:35,Customers End,Brenda, 2020/12/31 07:06:21,Completed,Closed
AXA-20201230-1170-VOICE,CH01,Dan,NGS005, 2020/12/30 07:19:06,2020/12/30 07:20:49,2020/12/30 12:45:35,Customers End,Bola, 2020/12/30 12:41:34,Completed,Closed
AXA-20201230-1171-VOICE,CH01,Dan,NGS005, 2020/12/30 03:19:03,2020/12/30 03:19:51,2020/12/30 04:20:56,Customers End,Vitus, 2020/12/30 06:48:27,Completed,Closed
AXA-20201229-1172-VOICE,CH01,Dan,NGS005, 2020/12/29 17:52:09,2020/12/29 18:01:40,2020/12/29 20:16:43,Customers End,Sheg, 2020/12/30 00:57:46,Completed,Closed
AXA-20201229-1173-VOICE,CH01,Dan,NGS005, 2020/12/29 13:13:06,2020/12/29 13:13:38,2020/12/29 16:26:59,Customers End,Jonathan, 2020/12/29 21:36:57,Completed,Closed
AXA-20201231-1174-VOICE,CH01,Dan,NGS007, 2020/12/31 19:52:06,2020/12/31 19:56:13,2021/01/01 01:07:28,Routine Service,Mary, 2021/01/02 06:35:51,Completed,Closed
AXA-20201231-1175-VOICE,CH01,Dan,NGS007, 2020/12/31 16:34:04,2020/12/31 16:35:41,2020/12/31 17:12:23,Customers End,Mary, 2021/01/02 06:43:59,Completed,Closed
AXA-20201231-1176-VOICE,CH01,Dan,NGS007, 2020/12/31 10:34:04,2020/12/31 10:38:11,2020/12/31 16:21:33,Customers End,Sekina, 2021/01/01 07:17:05,Completed,Closed
AXA-20201230-1177-VOICE,CH01,Dan,NGS007, 2020/12/30 12:22:03,2020/12/30 12:31:29,2020/12/30 12:40:36,Customers End,John, 2020/12/30 14:53:33,Completed,Closed
AXA-20201229-1178-VOICE,CH01,Dan,NGS007, 2020/12/29 18:37:03,2020/12/29 18:47:36,2020/12/29 21:27:05,Customers End,Sherifat, 2020/12/31 14:37:23,Completed,Closed
AXA-20201229-1179-VOICE,CH01,Dan,NGS007, 2020/12/29 15:07:03,2020/12/29 15:14:46,2020/12/29 16:57:12,Customers End,Vitus, 2020/12/30 05:15:10,Completed,Closed
AXA-20201231-1180-HSE,CH01,Diamond,NGS006, 2020/12/31 14:34:04,2020/12/31 14:36:09,2020/12/31 19:02:31,Customers End,Mary, 2021/01/02 06:45:37,Completed,Closed
AXA-20201231-1181-HSE,CH01,Lemway,NGS010, 2020/12/31 22:19:06,2020/12/31 22:26:51,2021/01/01 02:31:07,#N/A,Bola, ,Active,Open
AXA-20201231-1182-HSE,CH01,Lemway,NGS010, 2020/12/31 14:43:03,2020/12/31 14:43:28,2020/12/31 16:44:46,Customers End,Sherifat, 2021/01/01 07:32:53,Completed,Closed
AXA-20201229-1183-HSE,CH01,Lemway,NGS010, 2020/12/29 17:13:08,2020/12/29 17:19:13,2020/12/29 21:00:54,Customers End,Sekina, 2020/12/30 14:56:55,Completed,Closed
AXA-20201231-1184-HSE,CH01,Lemway,NGS010, 2020/12/31 16:58:03,2020/12/31 17:03:30,2020/12/31 19:45:46,#N/A,John, ,Active,Open
AXA-20201231-1185-HSE,CH01,Lemway,NGS010, 2020/12/31 11:40:07,2020/12/31 11:50:55,2020/12/31 13:05:27,Customers End,Tunde, 2021/01/01 07:16:35,Completed,Closed
AXA-20201231-1186-HSE,CH01,Lemway,NGS010, 2020/12/31 06:40:09,2020/12/31 06:49:46,2020/12/31 06:55:14,Routine Service,Habeeb, 2021/01/01 07:25:32,Completed,Closed
AXA-20201230-1187-HSE,CH01,Lemway,NGS010, 2020/12/30 16:28:04,2020/12/30 16:28:10,2020/12/30 18:40:22,Customers End,Jennifer, 2021/01/02 06:31:04,Completed,Closed
AXA-20201230-1188-HSE,CH01,Lemway,NGS010, 2020/12/30 05:34:07,2020/12/30 05:35:55,2020/12/30 08:48:12,Routine Service,Jonathan, 2020/12/30 17:22:20,Completed,Closed
AXA-20201229-1189-HSE,CH01,Lemway,NGS010, 2020/12/29 17:19:04,2020/12/29 17:29:18,2020/12/29 22:53:03,Customers End,Sheg, 2020/12/30 05:14:23,Completed,Closed
AXA-20201229-1190-HSE,CH01,Lemway,NGS010, 2020/12/29 12:49:04,2020/12/29 12:58:17,2020/12/29 16:19:40,Customers End,Sheg, 2020/12/29 21:38:30,Completed,Closed
AXA-20201231-1191-HSE,CH01,Lemway,NGS018, 2020/12/31 17:37:07,2020/12/31 17:47:30,2020/12/31 20:59:10,#N/A,Ore, ,Active,Open
AXA-20201231-1192-HSE,CH01,Lemway,NGS018, 2020/12/31 15:28:03,2020/12/31 15:36:51,2020/12/31 19:52:15,Customers End,Kola, 2021/01/02 06:44:52,Completed,Closed
AXA-20201231-1193-HSE,CH01,Lemway,NGS018, 2020/12/31 13:49:05,2020/12/31 13:50:33,2020/12/31 15:14:43,Customers End,Tunde, 2020/12/31 14:52:28,Completed,Closed
AXA-20201230-1194-HSE,CH01,Lemway,NGS018, 2020/12/30 20:04:09,2020/12/30 20:04:36,2020/12/31 00:37:19,Routine Service,Goodluck, 2021/01/01 08:20:11,Completed,Closed
AXA-20201229-1195-HSE,CH01,Lemway,NGS018, 2020/12/29 18:13:08,2020/12/29 18:21:45,2020/12/29 20:23:09,Customers End,Atiku, 2020/12/31 14:52:16,Completed,Closed
AXA-20201230-1196-WLESS,CH01,First,NGS003, 2020/12/30 19:13:06,2020/12/30 19:19:16,2020/12/30 22:33:42,Customers End,Jonathan, 2020/12/31 07:56:27,Completed,Closed
AXA-20201231-1197-HSE,CH01,Fidelity,NGS010, 2020/12/31 18:49:04,2020/12/31 18:52:21,2020/12/31 20:00:42,#N/A,Amelia, ,Active,Open
AXA-20201231-1198-HSE,CH01,Fidelity,NGS010, 2020/12/31 15:43:03,2020/12/31 15:50:50,2020/12/31 19:22:02,Customers End,Sekina, 2021/01/01 07:32:19,Completed,Closed
AXA-20201230-1199-HSE,CH01,Fidelity,NGS010, 2020/12/30 21:34:04,2020/12/30 21:44:49,2020/12/30 23:20:36,Customers End,Jonathan, 2020/12/31 06:56:33,Completed,Closed
AXA-20201231-1200-HSE,CH01,Trust,NGS018, 2020/12/31 09:43:03,2020/12/31 09:52:36,2020/12/31 11:31:03,Line damage,Habeeb, 2021/01/01 07:13:21,Completed,Closed
AXA-20201231-1201-EVOICE,CH01,GTBN,NGS003, 2020/12/31 14:46:18,2020/12/31 14:50:30,2020/12/31 15:24:46,Line damage,Bola, 2021/01/01 07:18:34,Completed,Closed
AXA-20201231-1202-HSE,CH01,Jiji,NGS019, 2020/12/31 08:07:07,2020/12/31 08:13:51,2020/12/31 13:20:10,Customers End,Bola, 2021/01/01 07:24:49,Completed,Closed
AXA-20201231-1203-HSE,CH01,Jiji,NGS019, 2020/12/31 03:04:14,2020/12/31 03:10:41,2020/12/31 05:34:45,Line damage,Goodluck, 2020/12/31 07:05:31,Completed,Closed
AXA-20201230-1204-HSE,CH01,Jiji,NGS019, 2020/12/30 18:04:06,2020/12/30 18:04:52,2020/12/30 22:14:55,Line damage,Kingsley, 2020/12/31 07:05:43,Completed,Closed
AXA-20201231-1205-HSE,CH01,Jiji,NGS016, 2020/12/31 17:04:33,2020/12/31 17:07:17,2020/12/31 18:47:34,Customers End,Kola, 2021/01/02 06:42:47,Completed,Closed
AXA-20201231-1206-HSE,CH01,Jiji,NGS001, 2020/12/31 23:34:03,2020/12/31 23:41:46,2020/12/31 23:48:58,#N/A,Fola, ,Active,Open
AXA-20201230-1207-HSE,CH01,Jiji,NGS001, 2020/12/30 21:49:03,2020/12/30 21:57:34,2020/12/30 21:58:43,Routine Service,Boye, 2021/01/02 06:47:42,Completed,Closed
AXA-20201229-1208-HSE,CH01,Jiji,NGS001, 2020/12/29 20:13:11,2020/12/29 20:19:33,2020/12/30 00:38:58,Customers End,Atiku, 2021/01/02 06:16:37,Completed,Closed
AXA-20201231-1209-HSE,CH01,Jiji,NGS016, 2020/12/31 17:04:36,2020/12/31 17:08:59,2020/12/31 17:17:39,Line damage,Jennifer, 2021/01/01 07:33:33,Completed,Closed
AXA-20201231-1210-HSE,CH01,Jiji,NGS020, 2020/12/31 18:04:10,2020/12/31 18:09:38,2020/12/31 21:10:59,#N/A,Myers, ,Active,Open
AXA-20201230-1211-HSE,CH01,Jiji,NGS020, 2020/12/30 17:40:04,2020/12/30 17:40:28,2020/12/30 17:56:45,Routine Service,Amelia, 2021/01/02 06:40:16,Completed,Closed
AXA-20201229-1212-HSE,CH01,Jiji,NGS020, 2020/12/29 17:58:09,2020/12/29 18:01:20,2020/12/29 20:01:59,Customers End,Sherifat, 2020/12/31 14:57:38,Completed,Closed
AXA-20201229-1213-HSE,CH01,Jiji,NGS020, 2020/12/29 17:04:08,2020/12/29 17:07:34,2020/12/29 18:46:36,Customers End,Brenda, 2020/12/29 21:30:46,Completed,Closed
AXA-20201231-1214-HSE,CH06,Jiji,NGS021, 2020/12/31 10:18:25,2020/12/31 10:23:40,2020/12/31 12:46:53,Customers End,Sekina, 2020/12/31 14:56:00,Completed,Closed
AXA-20201231-1215-HSE,CH01,Jiji,NGS012, 2020/12/31 18:37:06,2020/12/31 18:44:34,2020/12/31 22:14:09,#N/A,Habeeb, ,Active,Open
AXA-20201230-1216-HSE,CH01,Jiji,NGS012, 2020/12/30 16:58:16,2020/12/30 16:58:57,2020/12/30 22:10:31,Customers End,Sherifat, 2021/01/02 06:30:33,Completed,Closed
AXA-20201229-1217-HSE,CH01,Jiji,NGS012, 2020/12/29 16:52:06,2020/12/29 16:58:22,2020/12/29 19:59:30,Customers End,Sekina, 2020/12/30 14:30:15,Completed,Closed
AXA-20201231-1218-HSE,CH01,Jiji,NGS022, 2020/12/31 18:55:03,2020/12/31 19:02:18,2020/12/31 22:15:27,#N/A,Segun, ,Active,Open
AXA-20201230-1219-HSE,CH01,Jiji,NGS022, 2020/12/30 19:31:09,2020/12/30 19:39:27,2020/12/30 22:20:48,Routine Service,Sheg, 2021/01/01 08:21:07,Completed,Closed
AXA-20201229-1220-HSE,CH01,Jiji,NGS022, 2020/12/29 18:10:04,2020/12/29 18:12:26,2020/12/29 21:42:31,Customers End,Vitus, 2020/12/31 14:55:46,Completed,Closed
AXA-20201231-1221-HSE,CH01,Jiji,NGS023, 2020/12/31 19:25:08,2020/12/31 19:31:26,2020/12/31 20:15:06,#N/A,Kachi, ,Active,Open
AXA-20201230-1222-HSE,CH01,Jiji,NGS023, 2020/12/30 17:58:04,2020/12/30 18:01:24,2020/12/30 18:08:02,Routine Service,Kachi, 2021/01/02 06:37:41,Completed,Closed
AXA-20201229-1223-HSE,CH01,Jiji,NGS023, 2020/12/29 17:28:06,2020/12/29 17:37:25,2020/12/29 17:43:35,Customers End,Sherifat, 2020/12/30 14:53:44,Completed,Closed
AXA-20201231-1224-HSE,CH01,Jiji,NGS008, 2020/12/31 21:22:06,2020/12/31 21:23:42,2020/12/31 22:50:03,#N/A,Sekina, ,Active,Open
AXA-20201231-1225-HSE,CH01,Jiji,NGS010, 2020/12/31 20:43:04,2020/12/31 20:53:32,2020/12/31 21:29:53,#N/A,Tunde, ,Active,Open
AXA-20201230-1226-HSE,CH01,Jiji,NGS010, 2020/12/30 20:58:07,2020/12/30 21:07:34,2020/12/31 02:37:43,Routine Service,Sherifat, 2021/01/02 06:48:29,Completed,Closed
AXA-20201229-1227-HSE,CH01,Jiji,NGS010, 2020/12/29 20:28:04,2020/12/29 20:36:45,2020/12/30 02:06:25,Customers End,Atiku, 2021/01/02 06:11:43,Completed,Closed
AXA-20201231-1228-HSE,CH01,Jiji,NGS009, 2020/12/31 23:04:06,2020/12/31 23:04:48,2020/12/31 23:33:30,Line damage,Kingsley, 2021/01/01 07:05:32,Completed,Closed
AXA-20201231-1229-HSE,CH01,Jiji,NGS007, 2020/12/31 18:37:03,2020/12/31 18:46:30,2020/12/31 19:09:43,#N/A,Jonathan, ,Active,Open
AXA-20201230-1230-HSE,CH01,Jiji,NGS007, 2020/12/30 17:28:03,2020/12/30 17:33:41,2020/12/30 22:42:26,Routine Service,Amelia, 2021/01/02 06:25:44,Completed,Closed
AXA-20201229-1231-HSE,CH01,Jiji,NGS007, 2020/12/29 18:43:04,2020/12/29 18:44:29,2020/12/30 00:27:03,Customers End,Bola, 2020/12/31 14:36:51,Completed,Closed
AXA-20201231-1232-HSE,CH01,Jiji,NGS024, 2020/12/31 17:07:08,2020/12/31 17:16:23,2020/12/31 18:56:52,#N/A,Bola, ,Active,Open
AXA-20201230-1233-HSE,CH01,Jiji,NGS024, 2020/12/30 18:07:08,2020/12/30 18:09:30,2020/12/30 19:54:36,Routine Service,Sherifat, 2021/01/02 06:37:08,Completed,Closed
AXA-20201229-1234-HSE,CH01,Jiji,NGS024, 2020/12/29 18:31:07,2020/12/29 18:35:53,2020/12/30 00:13:27,Customers End,Sherifat, 2020/12/30 17:22:33,Completed,Closed
AXA-20201231-1235-HSE,CH01,Jiji,NGS025, 2020/12/31 04:52:03,2020/12/31 04:57:24,2020/12/31 06:58:52,Customers End,Tunde, 2021/01/01 07:13:37,Completed,Closed
AXA-20201231-1236-HSE,CH01,Jiji,NGS025, 2020/12/31 03:37:13,2020/12/31 03:38:44,2020/12/31 09:24:08,Line damage,Brenda, 2020/12/31 07:05:12,Completed,Closed
AXA-20201231-1237-HSE,CH01,Jiji,NGS025, 2020/12/31 01:34:07,2020/12/31 01:39:12,2020/12/31 07:22:34,Line damage,Jonathan, 2020/12/31 06:57:17,Completed,Closed
AXA-20201231-1238-HSE,CH01,Jiji,NGS018, 2020/12/31 19:58:03,2020/12/31 19:58:35,2020/12/31 22:58:57,#N/A,Jennifer, ,Active,Open
AXA-20201230-1239-HSE,CH01,Jiji,NGS018, 2020/12/30 20:43:04,2020/12/30 20:44:20,2020/12/30 23:55:38,Customers End,Habeeb, 2021/01/01 08:19:49,Completed,Closed
