,report_id,report_channel,customer_name,state_key,ticket_open_time,ticket_resp_time,issue_res_time,fault_type,operator,ticket_close_time,ticket_status,business_status
85,AXA-20201231-1186-HSE,CH01,Lemway,NGS010,2020-12-31 06:40:09,2020-12-31 06:49:46,2020-12-31 06:55:14,Routine Service,Habeeb,2021-01-01 07:25:32,Completed,Closed
86,AXA-20201230-1187-HSE,CH01,Lemway,NGS010,2020-12-30 16:28:04,2020-12-30 16:28:10,2020-12-30 18:40:22,Customers End,Jennifer,2021-01-02 06:31:04,Completed,Closed
87,AXA-20201230-1188-HSE,CH01,Lemway,NGS010,2020-12-30 05:34:07,2020-12-30 05:35:55,2020-12-30 08:48:12,Routine Service,Jonathan,2020-12-30 17:22:20,Completed,Closed
88,AXA-20201229-1189-HSE,CH01,Lemway,NGS010,2020-12-29 17:19:04,2020-12-29 17:29:18,2020-12-29 22:53:03,Customers End,Sheg,2020-12-30 05:14:23,Completed,Closed
89,AXA-20201229-1190-HSE,CH01,Lemway,NGS010,2020-12-29 12:49:04,2020-12-29 12:58:17,2020-12-29 16:19:40,Customers End,Sheg,2020-12-29 21:38:30,Completed,Closed
91,AXA-20201231-1192-HSE,CH01,Lemway,NGS018,2020-12-31 15:28:03,2020-12-31 15:36:51,2020-12-31 19:52:15,Customers End,Kola,2021-01-02 06:44:52,Completed,Closed
92,AXA-20201231-1193-HSE,CH01,Lemway,NGS018,2020-12-31 13:49:05,2020-12-31 13:50:33,2020-12-31 15:14:43,Customers End,Tunde,2020-12-31 14:52:28,Completed,Closed
93,AXA-20201230-1194-HSE,CH01,Lemway,NGS018,2020-12-30 20:04:09,2020-12-30 20:04:36,2020-12-31 00:37:19,Routine Service,Goodluck,2021-01-01 08:20:11,Completed,Closed
94,AXA-20201229-1195-HSE,CH01,Lemway,NGS018,2020-12-29 18:13:08,2020-12-29 18:21:45,2020-12-29 20:23:09,Customers End,Atiku,2020-12-31 14:52:16,Completed,Closed
95,AXA-20201230-1196-WLESS,CH01,First,NGS003,2020-12-30 19:13:06,2020-12-30 19:19:16,2020-12-30 22:33:42,Customers End,Jonathan,2020-12-31 07:56:27,Completed,Closed
97,AXA-20201231-1198-HSE,CH01,Fidelity,NGS010,2020-12-31 15:43:03,2020-12-31 15:50:50,2020-12-31 19:22:02,Customers End,Sekina,2021-01-01 07:32:19,Completed,Closed
98,AXA-20201230-1199-HSE,CH01,Fidelity,NGS010,2020-12-30 21:34:04,2020-12-30 21:44:49,2020-12-30 23:20:36,Customers End,Jonathan,2020-12-31 06:56:33,Completed,Closed
99,AXA-20201231-1200-HSE,CH01,Trust,NGS018,2020-12-31 09:43:03,2020-12-31 09:52:36,2020-12-31 11:31:03,Line damage,Habeeb,2021-01-01 07:13:21,Completed,Closed
100,AXA-20201231-1201-EVOICE,CH01,GTBN,NGS003,2020-12-31 14:46:18,2020-12-31 14:50:30,2020-12-31 15:24:46,Line damage,Bola,2021-01-01 07:18:34,Completed,Closed
101,AXA-20201231-1202-HSE,CH01,Jiji,NGS019,2020-12-31 08:07:07,2020-12-31 08:13:51,2020-12-31 13:20:10,Customers End,Bola,2021-01-01 07:24:49,Completed,Closed
102,AXA-20201231-1203-HSE,CH01,Jiji,NGS019,2020-12-31 03:04:14,2020-12-31 03:10:41,2020-12-31 05:34:45,Line damage,Goodluck,2020-12-31 07:05:31,Completed,Closed
103,AXA-20201230-1204-HSE,CH01,Jiji,NGS019,2020-12-30 18:04:06,2020-12-30 18:04:52,2020-12-30 22:14:55,Line damage,Kingsley,2020-12-31 07:05:43,Completed,Closed
104,AXA-20201231-1205-HSE,CH01,Jiji,NGS016,2020-12-31 17:04:33,2020-12-31 17:07:17,2020-12-31 18:47:34,Customers End,Kola,2021-01-02 06:42:47,Completed,Closed
106,AXA-20201230-1207-HSE,CH01,Jiji,NGS001,2020-12-30 21:49:03,2020-12-30 21:57:34,2020-12-30 21:58:43,Routine Service,Boye,2021-01-02 06:47:42,Completed,Closed
107,AXA-20201229-1208-HSE,CH01,Jiji,NGS001,2020-12-29 20:13:11,2020-12-29 20:19:33,2020-12-30 00:38:58,Customers End,Atiku,2021-01-02 06:16:37,Completed,Closed
108,AXA-20201231-1209-HSE,CH01,Jiji,NGS016,2020-12-31 17:04:36,2020-12-31 17:08:59,2020-12-31 17:17:39,Line damage,Jennifer,2021-01-01 07:33:33,Completed,Closed
110,AXA-20201230-1211-HSE,CH01,Jiji,NGS020,2020-12-30 17:40:04,2020-12-30 17:40:28,2020-12-30 17:56:45,Routine Service,Amelia,2021-01-02 06:40:16,Completed,Closed
111,AXA-20201229-1212-HSE,CH01,Jiji,NGS020,2020-12-29 17:58:09,2020-12-29 18:01:20,2020-12-29 20:01:59,Customers End,Sherifat,2020-12-31 14:57:38,Completed,Closed
112,AXA-20201229-1213-HSE,CH01,Jiji,NGS020,2020-12-29 17:04:08,2020-12-29 17:07:34,2020-12-29 18:46:36,Customers End,Brenda,2020-12-29 21:30:46,Completed,Closed
113,AXA-20201231-1214-HSE,CH06,Jiji,NGS021,2020-12-31 10:18:25,2020-12-31 10:23:40,2020-12-31 12:46:53,Customers End,Sekina,2020-12-31 14:56:00,Completed,Closed
115,AXA-20201230-1216-HSE,CH01,Jiji,NGS012,2020-12-30 16:58:16,2020-12-30 16:58:57,2020-12-30 22:10:31,Customers End,Sherifat,2021-01-02 06:30:33,Completed,Closed
116,AXA-20201229-1217-HSE,CH01,Jiji,NGS012,2020-12-29 16:52:06,2020-12-29 16:58:22,2020-12-29 19:59:30,Customers End,Sekina,2020-12-30 14:30:15,Completed,Closed
118,AXA-20201230-1219-HSE,CH01,Jiji,NGS022,2020-12-30 19:31:09,2020-12-30 19:39:27,2020-12-30 22:20:48,Routine Service,Sheg,2021-01-01 08:21:07,Completed,Closed
119,AXA-20201229-1220-HSE,CH01,Jiji,NGS022,2020-12-29 18:10:04,2020-12-29 18:12:26,2020-12-29 21:42:31,Customers End,Vitus,2020-12-31 14:55:46,Completed,Closed
121,AXA-20201230-1222-HSE,CH01,Jiji,NGS023,2020-12-30 17:58:04,2020-12-30 18:01:24,2020-12-30 18:08:02,Routine Service,Kachi,2021-01-02 06:37:41,Completed,Closed
122,AXA-20201229-1223-HSE,CH01,Jiji,NGS023,2020-12-29 17:28:06,2020-12-29 17:37:25,2020-12-29 17:43:35,Customers End,Sherifat,2020-12-30 14:53:44,Completed,Closed
125,AXA-20201230-1226-HSE,CH01,Jiji,NGS010,2020-12-30 20:58:07,2020-12-30 21:07:34,2020-12-31 02:37:43,Routine Service,Sherifat,2021-01-02 06:48:29,Completed,Closed
126,AXA-20201229-1227-HSE,CH01,Jiji,NGS010,2020-12-29 20:28:04,2020-12-29 20:36:45,2020-12-30 02:06:25,Customers End,Atiku,2021-01-02 06:11:43,Completed,Closed
127,AXA-20201231-1228-HSE,CH01,Jiji,NGS009,2020-12-31 23:04:06,2020-12-31 23:04:48,2020-12-31 23:33:30,Line damage,Kingsley,2021-01-01 07:05:32,Completed,Closed
129,AXA-20201230-1230-HSE,CH01,Jiji,NGS007,2020-12-30 17:28:03,2020-12-30 17:33:41,2020-12-30 22:42:26,Routine Service,Amelia,2021-01-02 06:25:44,Completed,Closed
130,AXA-20201229-1231-HSE,CH01,Jiji,NGS007,2020-12-29 18:43:04,2020-12-29 18:44:29,2020-12-30 00:27:03,Customers End,Bola,2020-12-31 14:36:51,Completed,Closed
132,AXA-20201230-1233-HSE,CH01,Jiji,NGS024,2020-12-30 18:07:08,2020-12-30 18:09:30,2020-12-30 19:54:36,Routine Service,Sherifat,2021-01-02 06:37:08,Completed,Closed
133,AXA-20201229-1234-HSE,CH01,Jiji,NGS024,2020-12-29 18:31:07,2020-12-29 18:35:53,2020-12-30 00:13:27,Customers End,Sherifat,2020-12-30 17:22:33,Completed,Closed
134,AXA-20201231-1235-HSE,CH01,Jiji,NGS025,2020-12-31 04:52:03,2020-12-31 04:57:24,2020-12-31 06:58:52,Customers End,Tunde,2021-01-01 07:13:37,Completed,Closed
135,AXA-20201231-1236-HSE,CH01,Jiji,NGS025,2020-12-31 03:37:13,2020-12-31 03:38:44,2020-12-31 09:24:08,Line damage,Brenda,2020-12-31 07:05:12,Completed,Closed
136,AXA-20201231-1237-HSE,CH01,Jiji,NGS025,2020-12-31 01:34:07,2020-12-31 01:39:12,2020-12-31 07:22:34,Line damage,Jonathan,2020-12-31 06:57:17,Completed,Closed
138,AXA-20201230-1239-HSE,CH01,Jiji,NGS018,2020-12-30 20:43:04,2020-12-30 20:44:20,2020-12-30 23:55:38,Customers End,Habeeb,2021-01-01 08:19:49,Completed,Closed
139,AXA-20201229-1240-HSE,CH01,Jiji,NGS018,2020-12-29 18:52:06,2020-12-29 19:00:25,2020-12-29 23:39:30,Customers End,Sherifat,2020-12-31 14:35:57,Completed,Closed
140,AXA-20201231-1241-HSE,CH06,Jiji,NGS013,2020-12-31 14:39:50,2020-12-31 14:44:24,2020-12-31 15:47:59,Line damage,Brenda,2021-01-01 07:03:34,Completed,Closed
142,AXA-20201230-1243-HSE,CH01,Jiji,NGS026,2020-12-30 18:55:07,2020-12-30 19:05:49,2020-12-30 19:23:27,Routine Service,Goodluck,2021-01-02 06:50:11,Completed,Closed
143,AXA-20201229-1244-HSE,CH01,Jiji,NGS026,2020-12-29 17:49:08,2020-12-29 17:57:40,2020-12-29 19:32:43,Customers End,Atiku,2020-12-30 14:52:14,Completed,Closed
144,AXA-20201230-1245-CBS,CH05,JH,NGS027,2020-12-30 23:47:30,2020-12-30 23:52:44,2020-12-31 05:25:47,Customers End,Amelia,2021-01-01 08:00:01,Completed,Closed
146,AXA-20201230-1247-WLESS,CH01,Berger,NGS011,2020-12-30 17:52:04,2020-12-30 17:59:11,2020-12-30 23:39:17,Customers End,Amelia,2020-12-31 20:06:42,Completed,Closed
147,AXA-20201229-1248-WLESS,CH01,Berger,NGS011,2020-12-29 18:13:03,2020-12-29 18:22:30,2020-12-29 18:30:59,Customers End,Atiku,2020-12-30 13:21:06,Completed,Closed
149,AXA-20201230-1250-WLESS,CH01,Berger,NGS004,2020-12-30 17:07:08,2020-12-30 17:15:33,2020-12-30 20:36:53,Customers End,Sherifat,2020-12-31 20:03:54,Completed,Closed
150,AXA-20201229-1251-WLESS,CH01,Berger,NGS004,2020-12-29 17:43:06,2020-12-29 17:53:15,2020-12-29 19:55:34,Customers End,Tunde,2020-12-30 13:21:45,Completed,Closed
151,AXA-20201231-1252-HSE,CH01,Jumlaa,NGS004,2020-12-31 19:04:06,2020-12-31 19:10:38,2020-12-31 23:44:56,Routine Service,John,2021-01-01 07:05:28,Completed,Closed
152,AXA-20201231-1253-HSE,CH01,Jumlaa,NGS004,2020-12-31 17:10:06,2020-12-31 17:17:15,2020-12-31 18:26:00,Routine Service,Sherifat,2021-01-01 07:04:11,Completed,Closed
153,AXA-20201230-1254-HSE,CH01,Jumlaa,NGS004,2020-12-30 19:19:04,2020-12-30 19:27:37,2020-12-30 20:32:24,Routine Service,Atiku,2021-01-01 08:21:42,Completed,Closed
154,AXA-20201229-1255-HSE,CH01,Jumlaa,NGS004,2020-12-29 16:49:04,2020-12-29 16:53:43,2020-12-29 20:11:08,Customers End,Vitus,2020-12-29 23:13:05,Completed,Closed
155,AXA-20201231-1256-HSE,CH01,Kabo,NGS008,2020-12-31 22:43:09,2020-12-31 22:53:40,2021-01-01 03:55:48,Customers End,Mary,2021-01-02 06:53:20,Completed,Closed
157,AXA-20201230-1258-HSE,CH01,Kabo,NGS008,2020-12-30 23:04:03,2020-12-30 23:07:08,2020-12-31 04:46:11,Customers End,Brenda,2021-01-01 08:07:27,Completed,Closed
158,AXA-20201230-1259-HSE,CH01,Kabo,NGS008,2020-12-30 17:43:12,2020-12-30 17:51:33,2020-12-30 20:05:54,Customers End,Myers,2021-01-02 06:38:53,Completed,Closed
